original,descriptive
year,year
inn,inn
ogrn,ogrn
region,region
region_taxcode,region_taxcode
creation_date,creation_date
dissolution_date,dissolution_date
age,age
eligible,eligible
exempt_criteria,exempt_criteria
filed,filed
imputed,imputed
simplified,simplified
articulated,articulated
totals_adjustment,totals_adjustment
okved,okved
okpo,okpo
okopf,okopf
okogu,okogu
okfc,okfc
oktmo,oktmo
lon,lon
lat,lat
geocoding_quality,geocoding_quality
line_1100,B_noncurrent_assets
line_1110,B_intangible_assets
line_1120,B_research_development
line_1130,B_intangible_exploration
line_1140,B_tangible_exploration
line_1150,B_fixed_assets
line_1160,B_tangible_invest
line_1170,B_fin_invest
line_1180,B_def_tax_assets
line_1190,B_other_noncurrent_assets
line_1200,B_current_assets
line_1210,B_inventories
line_1220,B_vat_receivable
line_1230,B_accounts_receivable
line_1240,B_fin_invest
line_1250,B_cash_equivalents
line_1260,B_other_current
line_1300,B_total_equity
line_1310,B_charter_capital
line_1320,B_treasury_shares
line_1340,B_reval_assets
line_1350,B_add_capital
line_1360,B_reserve_capital
line_1370,B_retained_earnings
line_1400,B_longterm_liab
line_1410,B_longterm_debt
line_1420,B_def_tax_liab
line_1430,B_provision_liab
line_1450,B_other_liab
line_1500,B_shortterm_liab
line_1510,B_shortterm_debt
line_1520,B_shortterm_payables
line_1530,B_def_income
line_1540,B_provision_liab
line_1550,B_other_liab
line_1600,B_assets
line_1700,B_liab
line_2110,PL_revenue
line_2120,PL_cost_of_sales
line_2100,PL_gross_profit
line_2210,PL_commercial_expenses
line_2220,PL_management_expenses
line_2200,PL_profit_from_sales
line_2310,PL_income_participation
line_2320,PL_interest_receivable
line_2330,PL_interest_payable
line_2340,PL_other_income
line_2350,PL_other_expenses
line_2300,PL_before_tax
line_2410,PL_income_tax
line_2411,PL_current_income_tax
line_2412,PL_def_income_tax
line_2421,PL_tax_liab
line_2430,PL_change_def_tax_liab
line_2450,PL_change_def_tax_assets
line_2460,PL_other_factors
line_2400,PL_net_profit
line_2510,PL_reval
line_2520,PL_other_operations
line_2530,PL_income_tax_operations
line_2500,PL_total
line_2900,PL_basic_earnings_share
line_2910,PL_diluted_earnings_share
line_3100,Epp_equity
line_3210,Ep_incr
line_3211,Ep_incr_net_profit
line_3212,Ep_incr_asset_reval
line_3213,Ep_incr_income
line_3214,Ep_incr_add_share_issue
line_3215,Ep_incr_share_value
line_3216,Ep_incr_reorg
line_321x,Ep_incr_other
line_3220,Ep_decr
line_3221,Ep_decr_loss
line_3222,Ep_decr_asset_reval
line_3223,Ep_decr_expenses
line_3224,Ep_decr_share_value
line_3225,Ep_decr_shares_number
line_3226,Ep_decr_reorg
line_3227,Ep_decr_dividends
line_322x,Ep_decr_special
line_3230,Ep_change_add
line_3240,Ep_change_reserve
line_3200,Ep_equity
line_3310,E_incr
line_3311,E_incr_net_profit
line_3312,E_incr_asset_reval
line_3313,E_incr_income
line_3314,E_incr_add_share_issue
line_3315,E_incr_share_value
line_3316,E_incr_reorg
line_331x,E_incr_other
line_3320,E_decr
line_3321,E_decr_loss
line_3322,E_decr_asset_reval
line_3323,E_decr_expenses
line_3324,E_decr_share_value
line_3325,E_decr_shares_number
line_3326,E_decr_reorg
line_3327,E_decr_dividends
line_332x,E_decr_special
line_3330,E_change_add
line_3340,E_change_reserve
line_3300,E_equity
line_3400,ADJ_equity_before
line_3410,ADJ_policy
line_3420,ADJ_error
line_3500,ADJ_equity_after
line_3401,ADJ_undistr_profit_before
line_3411,ADJ_undistr_profit_policy
line_3421,ADJ_undistr_profit_errors
line_3501,ADJ_undistr_profit_after
line_3402,ADJ_other_equity_before
line_3412,ADJ_other_equity_policy
line_3422,ADJ_other_equity_errors
line_3502,ADJ_other_equity_after
line_3600,NA_net_assets
line_4110,CFi_operating
line_4111,CFi_sales
line_4112,CFi_payments
line_4113,CFi_resale_invest
line_411x,CFi_firm_specific
line_4119,CFi_other
line_4120,CFo_operating
line_4121,CFo_materials
line_4122,CFo_labor
line_4123,CFo_interest
line_4124,CFo_income_tax
line_412x,CFo_special
line_4129,CFo_other
line_4100,CF_balance_operating
line_4210,CFi_invest
line_4211,CFi_sale_noncurrent_assets
line_4212,CFi_sale_shares
line_4213,CFi_loan_repayments
line_4214,CFi_dividends_interest
line_421x,CFi_invest_special
line_4219,CFi_invest_other
line_4220,CFo_invest
line_4221,CFo_acquisition_assets
line_4222,CFo_acquisition_shares
line_4223,CFo_acquisition_debt
line_4224,CFo_interest_payments
line_422x,CFo_invest_special
line_4229,CFo_invest_other
line_4200,CF_balance_invest
line_4310,CFi_fin
line_4311,CFi_loans
line_4312,CFi_owner_contributions
line_4313,CFi_share_issuance
line_4314,CFi_bond_issuance
line_431x,CFi_fin_special
line_4319,CFi_fin_other
line_4320,CFo_fin
line_4321,CFo_payments_owners
line_4322,CFo_payments_dividends
line_4323,CFo_debt_repayments
line_432x,CFo_fin_special
line_4329,CFo_fin_other
line_4300,CF_balance_fin
line_4400,CF_balance
line_4450,C_balance_start
line_4500,C_balance_end
line_4490,C_foreign_currency_impact
line_6100,PU_start
line_6210,PU_entrance
line_6215,PU_membership_fees
line_6220,PU_designated
line_6230,PU_voluntary
line_6240,PU_income_activities
line_6250,PU_income_other
line_6200,PU_total_received
line_6310,PU_designated
line_6311,PU_aid
line_6312,PU_conference
line_6313,PU_other_events
line_6320,PU_administrative
line_6321,PU_labor
line_6322,PU_nonlabor
line_6323,PU_travel
line_6324,PU_maintenance
line_6325,PU_repairs
line_6326,PU_other_administrative
line_6330,PU_acquisition_assets
line_6350,PU_other_expenses
line_6300,PU_total_expenses
line_6400,PU_remaining
